username,category,num_followers,num_followees,num_posts
makeupbynvs,beauty,1432.0,1089.0,363.0
jaquelinevandoski,beauty,137600.0,548.0,569.0
anisaartistry,beauty,64644.0,289.0,391.0
rubina_muartistry,beauty,496406.0,742.0,887.0
beautyxabbi,beauty,2050.0,1423.0,751.0
vemakeup713,beauty,99226.0,613.0,536.0
glaminfusion,beauty,4717.0,506.0,287.0
paisleymattes,beauty,108193.0,1240.0,1008.0
meghanmakeup_,beauty,1430.0,1160.0,284.0
mariana.beautyy,beauty,6460.0,2330.0,469.0
michellechawkemakeup,beauty,5458.0,669.0,481.0
itsbeauty_bliss,beauty,24344.0,988.0,1403.0
shanmacmua,beauty,102974.0,903.0,581.0
makeupxsyd,beauty,8988.0,812.0,392.0
sandijarquin,beauty,17609.0,1783.0,365.0
victorialyn,beauty,47590.0,988.0,1408.0
meninadibatom,beauty,10020.0,7502.0,1942.0
virginia_maccagno,beauty,35623.0,1668.0,806.0
jenmiamakeup,beauty,37533.0,1494.0,695.0
hazelbeauty89,beauty,24574.0,1176.0,1777.0
itsvanbeauty,beauty,11948.0,1938.0,290.0
cindyloubindi,beauty,2696.0,248.0,1000.0
hollifer__,beauty,32078.0,371.0,270.0
sayehsmakeup,beauty,203351.0,232.0,514.0
canadian.muas,beauty,1462.0,1779.0,660.0
makeupemalii,beauty,68493.0,361.0,1329.0
jwmua,beauty,31530.0,994.0,214.0
farahpromakeup,beauty,457281.0,1112.0,1041.0
hilijeen_mua,beauty,20885.0,521.0,679.0
ana_b_artistry,beauty,32109.0,784.0,815.0
camouflageandbalayage,beauty,165757.0,655.0,3074.0
with_sabrina,beauty,6252.0,929.0,517.0
carmenvalladolid_,beauty,3274.0,503.0,478.0
ruthiebarone,beauty,71013.0,1.0,565.0
annette_updo_artist,beauty,73963.0,2325.0,1332.0
amypigeonmua,beauty,17975.0,5587.0,2087.0
kaylann_marie,beauty,15201.0,1660.0,381.0
midnight_weirdo,beauty,23072.0,1636.0,2152.0
melisssaspiteri,beauty,74839.0,383.0,649.0
glamz_junkie,beauty,16506.0,1665.0,499.0
saraanddipity,beauty,11657.0,1938.0,424.0
msnataliejean,beauty,14834.0,986.0,919.0
mj_essence,beauty,3062.0,191.0,451.0
iamalexxkyler,beauty,34865.0,734.0,1572.0
valpham,beauty,192909.0,1077.0,1131.0
geribeth23,beauty,60540.0,7437.0,1556.0
cakedbyjess,beauty,5607.0,3039.0,265.0
inngenue,beauty,64403.0,678.0,483.0
alexandralee1016,beauty,27847.0,737.0,882.0
madithemermaid,beauty,2369.0,2209.0,496.0
jeamkin,beauty,4770.0,1348.0,1448.0
sophialcsmakeup,beauty,50403.0,309.0,446.0
withlove.nadia,beauty,255202.0,392.0,662.0
spindelsven,beauty,6344.0,487.0,1803.0
therealmarxicoco,beauty,11676.0,1759.0,331.0
iridescent.amy,beauty,4857.0,2122.0,1201.0
h_love13,beauty,28076.0,6785.0,424.0
erikamariemua,beauty,104392.0,865.0,626.0
ida_elina,beauty,206775.0,313.0,957.0
catanoglam,beauty,12227.0,1393.0,791.0
bexlecter,beauty,37961.0,796.0,2101.0
marisolbautistaa,beauty,593621.0,397.0,557.0
thebeautyelite,beauty,262221.0,742.0,665.0
tingting57live,beauty,13995.0,40.0,464.0
sofia_torress,beauty,138373.0,213.0,1991.0
shayetraceymakeup,beauty,5639.0,1598.0,483.0
